# P1 分层抽样候选（stratum	id	term	type	freq	cluster	cls	cls_rep	sources	rep	n_clusters	verdict	reason）
high	195	TN4	cls	860	306	TN4	1.000	C	0.184	103		
high	285	全球	kw	849	174	F	0.424	A+B	0.135	140		
high	681	西方	kw	803	41	B	0.197	A+B	0.056	117		
high	103	危机	kw	402	127	F	0.585	A+B	0.622	67		
high	1416	mastering	kw	167	31	TP	0.449	B	0.102	58		
high	365	nanostructures	kw	161	36	TB	0.540	A+B	0.553	11		
high	2399	个人	kw	128	258	I	0.250	B	0.062	68		
high	1094	B7	cls	125	114	B7	1.000	C	0.200	48		
high	561	max	kw	93	65	TP	0.656	A+B	0.602	31		
high	1279	平等	kw	85	382	F	0.424	A+B	0.235	33		
high	2673	analytic	kw	82	214	O	0.732	B	0.085	42		
high	2039	lie	kw	79	11	O	0.873	B	0.127	41		
high	1735	spectral	kw	75	214	O	0.707	B	0.173	36		
high	1737	superconductors	kw	74	98	O	0.622	B	0.176	30		
high	3289	选择	kw	72	362	F	0.306	B	0.069	52		
high	1237	nanostructured	kw	63	36	TB	0.603	A+B	0.333	9		
high	2234	进阶	kw	54	170	TP	0.481	B	0.167	27		
mid	3705	vibration	kw	48	152	TB	0.292	B	0.083	29		
mid	1938	immunology	kw	47	133	R	0.830	B	0.234	17		
mid	3342	小时	kw	42	116	K	0.238	B	0.119	29		
mid	1343	premiere	kw	36	263	TP	0.806	A+B	0.528	8		
mid	1254	pytorch	kw	33	156	TP	0.970	B	0.636	9		
mid	1448	传媒	kw	30	371	G	0.733	B	0.567	13		
mid	4318	TS1	cls	28	6	TS1	1.000	C	0.107	18		
mid	3453	命中	kw	26	168	B	0.308	B	0.192	17		
mid	2804	近世	kw	25	66	O	0.400	B	0.280	14		
mid	3873	衰落	kw	25	110	F	0.280	B	0.160	17		
mid	4389	degradation	kw	24	239	Q	0.208	B	0.125	18		
mid	4425	南方	kw	23	254	K	0.304	B	0.130	17		
mid	1769	制药	kw	23	125	TQ	0.913	B	0.565	4		
mid	4957	教你	kw	22	65	TP	0.227	B	0.091	19		
mid	4443	quarks	kw	22	202	O	0.955	B	0.136	17		
mid	2822	科普	kw	22	114	B	0.318	B	0.318	11		
mid	1525	服务研究	kw	20	245	G	0.600	A	0.800	4		
low	5006	gravitational	kw	19	11	O	0.579	B	0.105	13		
low	3176	南京	kw	19	246	K	0.368	B	0.316	12		
low	5041	gan	kw	18	70	TN	0.722	B	0.111	16		
low	4020	上古	kw	18	116	H	0.444	B	0.222	11		
low	5082	insects	kw	17	323	Q	0.941	B	0.118	15		
low	4680	理由	kw	16	185	I	0.500	B	0.188	13		
low	5147	精英	kw	16	58	G	0.312	B	0.125	14		
low	2607	次世界大战	kw	16	246	K	0.750	B	0.500	3		
low	1606	photomask	kw	15	19	TN	1.000	A+B	1.000	1		
low	2164	发表	kw	15	264	H	0.667	B	0.667	6		
low	5156	assessments	kw	15	78	G	0.200	B	0.133	14		
low	5245	sensitive	kw	14	43	TQ	0.143	B	0.143	12		
low	2380	requiem	kw	13	199	I	0.692	A+B	0.692	5		
low	3657	warehouse	kw	12	177	TP	0.750	B	0.417	6		
low	5367	TE3	cls	9	324	TE3	1.000	C	0.222	7		
low	4209	哲学辞典	kw	5	394	B	0.800	A	0.800	2		
