# P1 分层抽样候选（stratum	id	term	type	freq	cluster	cls	cls_rep	sources	rep	n_clusters	verdict	reason）
high	103	B9	cls	901	311	B9	1.000	C	0.273	133		
high	556	生活	kw	882	185	B	0.192	A+B	0.061	176		
high	282	全球	kw	849	174	F	0.424	A+B	0.135	140		
high	133	artificial	kw	417	101	TP	0.580	A+B	0.501	81		
high	1650	organization	kw	180	227	C	0.294	B	0.072	69		
high	630	drug	kw	175	164	R	0.789	A+B	0.269	57		
high	694	fuel	kw	133	349	TM	0.654	A+B	0.316	35		
high	2708	人文	kw	129	264	K	0.209	B	0.047	66		
high	457	法典	kw	95	347	D	0.958	A	0.726	10		
high	2032	tissue	kw	88	349	R	0.705	A+B	0.102	41		
high	780	css	kw	83	231	TP	0.651	B	0.446	10		
high	1275	5g	kw	81	132	TN	0.654	B	0.222	28		
high	2009	inorganic	kw	77	36	TB	0.468	B	0.130	30		
high	1885	qualitative	kw	76	356	C	0.447	B	0.132	38		
high	1201	psychological	kw	73	262	B	0.315	A+B	0.274	33		
high	699	chronicle	kw	64	248	E	0.625	A+B	0.656	16		
high	2707	eu	kw	55	1	D	0.727	B	0.127	26		
mid	1693	variable	kw	48	107	O	0.771	B	0.250	24		
mid	2517	atmosphere	kw	48	314	P	0.812	B	0.146	28		
mid	1699	文化交流	kw	42	105	K	0.405	A	0.286	17		
mid	3466	bone	kw	37	7	R	0.757	B	0.108	24		
mid	3486	calculations	kw	34	195	O	0.206	B	0.118	21		
mid	4013	重大	kw	31	64	F	0.355	B	0.097	27		
mid	3538	engagement	kw	28	78	G	0.464	B	0.143	17		
mid	2874	病毒	kw	26	232	Q	0.654	B	0.231	15		
mid	2339	人权	kw	25	382	D	0.840	B	0.320	13		
mid	3591	hierarchical	kw	25	219	O	0.320	B	0.160	18		
mid	3613	业化	kw	24	369	F	0.625	B	0.167	15		
mid	4130	iterative	kw	23	11	O	0.565	B	0.130	19		
mid	1468	websites	kw	23	231	TP	0.826	B	0.652	5		
mid	4646	augmented	kw	22	3	TP	0.591	B	0.091	19		
mid	4150	curvature	kw	22	214	O	0.955	B	0.136	16		
mid	2355	aerodynamic	kw	22	201	V	0.864	B	0.364	13		
mid	1409	代数学	kw	20	66	O	0.900	B	0.800	4		
low	4701	geological	kw	19	214	P	0.895	B	0.105	16		
low	2939	协议	kw	19	230	TN	0.684	B	0.316	10		
low	4739	reproduction	kw	18	1	Q	0.389	B	0.111	16		
low	3747	图论	kw	18	194	O	0.722	B	0.222	11		
low	4779	manifesto	kw	17	351	C	0.176	B	0.118	16		
low	4805	accountability	kw	16	50	F	0.312	B	0.125	13		
low	5098	empowerment	kw	16	3	F	0.312	B	0.062	16		
low	2398	黑龙江	kw	16	83	J	0.438	B	0.500	7		
low	1845	docker	kw	15	334	TP	0.933	B	0.733	4		
low	2399	nanodevices	kw	15	36	TB	0.533	B	0.533	5		
low	4867	inductive	kw	15	98	TP	0.333	B	0.133	12		
low	4945	wellbeing	kw	14	50	G	0.286	B	0.143	12		
low	2679	globalizing	kw	13	266	F	0.385	B	0.538	5		
low	3395	黄帝内经	kw	12	269	R	1.000	A	0.417	4		
low	3022	柳如是	kw	9	181	C	0.667	A	0.667	3		
low	3410	春秋公羊传	kw	5	269	K	1.000	A	1.000	1		
