# P1 分层抽样候选（stratum	id	term	type	freq	cluster	cls	cls_rep	sources	rep	n_clusters	verdict	reason）
high	43	J6	cls	1657	226	J6	1.000	C	0.252	160		
high	29	教育	kw	1203	213	G	0.732	A+B	0.392	150		
high	36	环境	kw	1144	15	X	0.594	A+B	0.385	144		
high	206	social	kw	1072	276	C	0.312	A+B	0.146	129		
high	298	K5	cls	997	110	K5	1.000	C	0.111	115		
high	56	V2	cls	957	201	V2	1.000	C	0.398	114		
high	236	D8	cls	925	174	D8	1.000	C	0.150	150		
high	34	security	kw	923	157	TP	0.649	A+B	0.495	81		
high	126	economic	kw	859	351	F	0.771	A+B	0.256	98		
high	339	biology	kw	709	329	Q	0.743	A+B	0.137	83		
high	100	集成	kw	680	83	TN	0.279	A+B	0.384	82		
high	700	G8	cls	626	35	G8	1.000	C	0.072	187		
high	288	TN2	cls	583	17	TN2	1.000	C	0.199	94		
high	1046	理论与实	kw	546	330	F	0.397	A	0.051	117		
high	330	K3	cls	503	354	K3	1.000	C	0.197	85		
high	1128	探索	kw	469	162	F	0.190	A+B	0.053	151		
high	331	space	kw	463	359	V	0.270	A+B	0.214	100		
high	127	美学	kw	458	217	B	0.555	A+B	0.480	78		
high	305	differential	kw	435	214	O	0.906	A+B	0.251	52		
high	520	simulation	kw	410	219	O	0.200	A+B	0.154	90		
high	107	危机	kw	402	127	F	0.585	A+B	0.622	67		
high	562	思考	kw	373	43	B	0.231	A+B	0.153	112		
high	260	代数	kw	330	197	O	0.867	A+B	0.397	39		
high	1131	practices	kw	309	50	TP	0.239	A+B	0.081	108		
high	704	manufacturing	kw	281	301	TB	0.292	A+B	0.160	77		
high	734	strategic	kw	271	136	F	0.583	A+B	0.159	75		
high	290	道德	kw	264	380	B	0.564	A+B	0.436	55		
high	1223	action	kw	251	26	TP	0.323	A+B	0.088	89		
high	625	系统设计	kw	242	271	TP	0.450	A	0.211	47		
high	901	mind	kw	237	43	B	0.414	A+B	0.143	69		
high	470	疾病	kw	234	232	R	0.919	A+B	0.303	35		
high	1021	spectroscopy	kw	219	98	O	0.767	A+B	0.132	54		
high	312	server	kw	218	118	TP	0.541	A+B	0.486	15		
high	317	california	kw	210	359	TN	0.500	A+B	0.500	27		
high	906	method	kw	206	214	O	0.422	B	0.165	70		
high	722	students	kw	204	78	G	0.436	A+B	0.216	64		
high	1535	black	kw	200	286	P	0.150	A+B	0.080	71		
high	1947	一种	kw	198	82	B	0.202	A+B	0.056	91		
high	783	biomedical	kw	196	321	R	0.699	A+B	0.204	41		
high	723	X	cls	195	15	X	1.000	C	0.226	80		
high	518	spaces	kw	184	359	O	0.723	A+B	0.342	48		
high	1188	living	kw	184	270	Q	0.185	A+B	0.125	70		
high	2065	era	kw	183	288	F	0.202	B	0.055	95		
high	1137	physiology	kw	179	16	R	0.564	A+B	0.140	38		
high	659	biotechnology	kw	175	321	Q	0.640	A+B	0.274	43		
high	444	挖掘	kw	171	37	TP	0.702	A+B	0.439	35		
high	879	atomic	kw	169	386	O	0.663	A+B	0.207	54		
high	709	sea	kw	164	74	P	0.195	A+B	0.274	51		
high	1604	fiction	kw	155	81	I	0.729	B	0.097	59		
high	1161	death	kw	151	168	I	0.179	A+B	0.159	40		
high	1476	waves	kw	143	46	O	0.636	A+B	0.119	53		
high	739	H7	cls	128	290	H7	1.000	C	0.336	39		
high	1856	ideas	kw	127	313	F	0.197	B	0.094	57		
high	1229	number	kw	126	107	O	0.873	B	0.175	36		
high	1142	B7	cls	125	114	B7	1.000	C	0.200	48		
high	1163	dynamical	kw	123	11	O	0.837	B	0.195	35		
high	1683	innovative	kw	117	171	TP	0.248	B	0.120	45		
high	1143	program	kw	116	206	TP	0.250	A+B	0.216	46		
high	2085	secret	kw	116	71	I	0.147	B	0.086	46		
high	2695	environments	kw	115	3	TP	0.330	B	0.061	64		
high	1864	local	kw	113	266	O	0.239	B	0.106	64		
high	474	开发实战	kw	112	170	TP	0.545	A	0.634	18		
high	2087	learn	kw	112	90	TP	0.366	B	0.089	46		
high	2240	journal	kw	112	264	N	0.161	B	0.080	63		
high	981	制造技术	kw	109	292	TH	0.550	A	0.284	21		
high	2919	exploration	kw	109	42	P	0.165	B	0.055	68		
high	1659	institutions	kw	104	176	F	0.548	B	0.144	42		
high	2699	speech	kw	104	54	TN	0.519	B	0.067	49		
high	2094	genetic	kw	103	329	Q	0.524	B	0.097	48		
high	1660	decisions	kw	103	196	F	0.311	A+B	0.146	43		
high	2669	S8	cls	102	39	S8	1.000	C	0.069	55		
high	591	小说选	kw	102	396	I	0.912	A	0.539	25		
high	2922	origin	kw	100	313	Q	0.270	B	0.060	62		
high	790	云计算	kw	98	334	TP	0.908	A+B	0.408	17		
high	834	conversion	kw	97	85	TK	0.371	A+B	0.392	34		
high	3256	choice	kw	94	59	F	0.330	B	0.064	60		
high	1486	wind	kw	93	85	TK	0.333	B	0.183	42		
high	1615	新世	kw	92	198	I	0.380	A+B	0.163	47		
high	670	criminal	kw	91	243	D	0.967	A+B	0.516	29		
high	743	nanoparticles	kw	91	151	TB	0.681	A+B	0.473	6		
high	2706	lasers	kw	90	359	TN	0.689	B	0.078	40		
high	2449	late	kw	88	248	K	0.205	B	0.091	45		
high	507	航天	kw	87	326	V	0.943	B	0.747	8		
high	1424	matters	kw	86	99	F	0.198	B	0.209	45		
high	1331	平等	kw	85	382	F	0.424	A	0.235	33		
high	1377	hydrogen	kw	83	85	TK	0.602	A+B	0.229	36		
high	2116	worlds	kw	82	53	O	0.134	B	0.122	35		
high	836	iphone	kw	79	231	TN	0.759	A+B	0.481	22		
high	1310	工艺学	kw	79	108	TQ	0.582	A	0.266	15		
high	2939	limits	kw	78	1	O	0.218	B	0.077	47		
high	1127	linguistics	kw	78	290	H	0.821	B	0.321	33		
high	1778	spectral	kw	75	214	O	0.707	B	0.173	36		
high	3268	noise	kw	75	93	TN	0.347	B	0.067	45		
high	1242	honor	kw	73	154	O	0.603	B	0.301	32		
high	568	德语	kw	72	95	H	0.861	A+B	0.792	10		
high	3621	scale	kw	72	151	O	0.264	B	0.056	47		
high	2269	golden	kw	69	71	I	0.159	B	0.130	44		
high	2059	delivery	kw	69	151	R	0.522	B	0.159	43		
high	1336	气候变化	kw	67	324	P	0.522	A	0.299	21		
high	2468	industries	kw	67	369	F	0.373	B	0.119	42		
high	2729	宗教	kw	67	63	B	0.642	B	0.104	39		
high	1382	real-time	kw	67	183	TP	0.537	A+B	0.284	30		
mid	869	博弈论	kw	65	26	O	0.477	A	0.554	15		
mid	2471	head	kw	65	231	R	0.323	B	0.123	38		
mid	4097	form	kw	65	1	I	0.185	B	0.046	40		
