# P1 分层抽样候选（stratum	id	term	type	freq	cluster	cls	cls_rep	sources	rep	n_clusters	verdict	reason）
high	214	physics	kw	1437	214	O	0.733	A+B	0.103	113		
high	122	辑	kw	1113	204	B	0.199	A+B	0.202	201		
high	419	问题	kw	1054	243	D	0.239	A+B	0.073	192		
high	376	techniques	kw	946	171	TP	0.209	A+B	0.091	141		
high	775	故事	kw	878	348	I	0.326	A+B	0.043	156		
high	237	law	kw	851	196	D	0.899	A+B	0.161	116		
high	80	programming	kw	818	206	TP	0.506	A+B	0.357	75		
high	57	机器	kw	817	338	TP	0.823	A+B	0.459	73		
high	247	R5	cls	766	232	R5	1.000	C	0.174	103		
high	124	web	kw	615	231	TP	0.683	A+B	0.361	68		
high	334	公司	kw	588	227	F	0.883	A+B	0.165	68		
high	100	VI	cls	532	71	VI	1.000	C	0.487	29		
high	309	帝国	kw	495	110	K	0.537	A+B	0.212	82		
high	446	TN0	cls	468	161	TN0	1.000	C	0.154	87		
high	1006	age	kw	465	1	G	0.138	B	0.058	103		
high	323	Z1	cls	425	150	Z1	1.000	C	0.235	68		
high	712	nonlinear	kw	410	93	O	0.688	A+B	0.102	84		
high	550	states	kw	403	359	D	0.184	A+B	0.139	94		
high	322	mobile	kw	395	132	TN	0.595	A+B	0.256	58		
high	871	技术及	kw	380	159	TP	0.279	A	0.087	72		
high	329	investment	kw	343	322	F	0.872	A+B	0.286	59		
high	779	work	kw	335	99	F	0.215	A+B	0.113	98		
high	529	TU2	cls	317	220	TU2	1.000	C	0.186	99		
high	303	city	kw	275	294	K	0.182	A+B	0.389	49		
high	762	mechanical	kw	254	301	TH	0.335	A+B	0.154	60		
high	427	japan	kw	233	184	K	0.167	A+B	0.326	44		
high	632	brief	kw	226	62	K	0.257	A+B	0.212	89		
high	1033	原理与应用	kw	220	61	TP	0.273	A	0.118	63		
high	783	的政	kw	209	234	D	0.383	A+B	0.182	63		
high	1345	elements	kw	202	214	O	0.411	B	0.084	87		
high	785	监管	kw	201	366	F	0.841	A+B	0.189	32		
high	438	清代	kw	200	73	K	0.290	A+B	0.370	46		
high	337	军事	kw	197	344	E	0.792	A+B	0.492	35		
high	1018	microwave	kw	180	195	TN	0.794	A+B	0.150	45		
high	1060	physiology	kw	179	16	R	0.564	A+B	0.140	38		
high	961	K	cls	165	63	K	0.812	C	0.176	48		
high	1224	N4	cls	160	147	N4	1.000	C	0.125	62		
high	664	经济发展	kw	155	205	F	0.800	A	0.297	26		
