# P1 分层抽样候选（stratum	id	term	type	freq	cluster	cls	cls_rep	sources	rep	n_clusters	verdict	reason）
high	7	数学	kw	1131	66	O	0.729	A+B	0.538	95		
high	372	语言	kw	851	290	TP	0.294	A+B	0.112	133		
high	777	西方	kw	803	41	B	0.197	A+B	0.056	117		
high	226	编程	kw	722	90	TP	0.539	A+B	0.205	55		
high	165	OC	cls	657	287	OC	1.000	C	0.280	46		
high	502	未来	kw	641	182	F	0.351	A+B	0.114	154		
high	128	web	kw	615	231	TP	0.683	A+B	0.361	68		
high	191	战争	kw	603	126	E	0.340	A+B	0.279	61		
high	729	政策	kw	571	229	F	0.562	A+B	0.084	73		
high	1246	月	kw	451	286	I	0.439	A+B	0.060	116		
high	298	TM7	cls	431	60	TM7	1.000	C	0.276	64		
high	415	商业	kw	410	244	F	0.683	A+B	0.207	88		
high	453	communications	kw	379	132	TN	0.770	A+B	0.208	78		
high	1210	nature	kw	360	53	Q	0.167	A+B	0.078	114		
high	176	国经	kw	355	229	F	0.859	A+B	0.490	51		
high	716	TQ3	cls	325	256	TQ3	1.000	C	0.151	87		
high	564	electronics	kw	308	54	TN	0.672	A+B	0.208	56		
high	1542	运动	kw	302	7	G	0.185	A+B	0.066	115		
high	197	图书馆	kw	290	245	G	0.817	A+B	0.569	61		
high	1116	scientific	kw	283	356	N	0.244	B	0.110	84		
high	630	cloud	kw	252	3	TP	0.778	A+B	0.226	52		
high	1031	回忆	kw	247	336	K	0.397	A+B	0.138	71		
high	1312	ecology	kw	231	94	Q	0.632	A+B	0.108	69		
high	601	X8	cls	203	15	X8	1.000	C	0.296	45		
high	1433	理论与方	kw	191	191	P	0.141	A	0.115	69		
high	1304	resources	kw	176	373	F	0.170	A+B	0.142	71		
high	2453	organization	kw	169	50	C	0.302	B	0.059	65		
high	1179	K	cls	165	63	K	0.812	C	0.176	48		
high	1893	理论研	kw	153	392	F	0.216	A	0.098	67		
high	2658	detection	kw	149	152	TP	0.369	B	0.060	65		
high	322	飞行器	kw	147	201	V	0.973	A	0.741	15		
high	911	germany	kw	146	303	K	0.260	B	0.267	49		
high	709	微观	kw	144	362	F	0.688	A+B	0.347	56		
high	1005	业发	kw	135	33	F	0.578	A+B	0.259	44		
high	1895	辅导	kw	134	66	O	0.351	A+B	0.112	40		
high	1101	国企	kw	128	145	F	0.906	A+B	0.250	26		
high	1127	moral	kw	124	380	B	0.484	A+B	0.250	52		
high	2085	russia	kw	123	298	D	0.358	A+B	0.106	42		
high	1008	中国金	kw	119	300	F	0.966	A	0.294	15		
